fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon
2025-10-26T08:11:20.495674,Granada,12.94,12.2,12.94,12.94,73,3.31,nubes,37.25,-3.25
2025-10-26T08:16:56.012048,Granada,12.94,12.2,12.94,12.94,73,3.31,nubes,37.25,-3.25
