fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon
2025-10-26T08:11:36.293151,Murcia,17.12,17.37,17.12,18.11,95,1.85,nubes,38,-1.5
2025-10-26T08:17:12.259341,Murcia,17.12,17.37,17.12,18.11,95,1.85,nubes,38,-1.5
